chainage,Mz,Vy
0.0,1.1901590823981678e-13,-2.2774893123172473
1.0,-6.326409811754969,2.2774893123172473
2.0,-13.103262990249593,2.4396476270771905
3.0,-20.434362938017554,2.6392698807535746
4.0,-22.989483648428113,0.9198360970594556
5.0,-17.475308151452275,-1.9850872982130034
6.0,-13.145606291454381,-1.5586802001578608
7.0,-8.882924249789717,-1.5346085040375836
8.0,-4.3080849261230245,-1.6469289810880918
9.0,-1.3145040611561853e-13,-1.550898166218835
